Valeur;Occurrences;Pourcentage
wood_parquet_c25c2e7e-739c-46a1-adf6-b05494b3d65c;1;0
york_stone_pavin_23744fe0-340e-48e3-b997-6b6885425689;1;0
procedural_groun_3c9266aa-a9a4-4637-a04d-c6383f507e07;1;0
grass_and_stones_f98fcfb8-1e25-4de5-8220-ab67617d8916;1;0
matte_paint_e9fda150-938b-446b-9efe-2758c90619b9;1;0
ivy-particle-pre_050c8089-cca6-4753-87be-509ce4f88a40;1;0
laminate_floor_eeb58e38-0a6a-460a-a649-c5db9752be0f;1;0
plaster_wall_mat_f1ae78ac-83ce-4688-8985-394182c11465;1;0
orange_grain_pla_ae9282ba-c645-4bb2-8f93-2a2a629b2728;1;0
procedural_satin_58718f42-6d4c-419a-8a20-382a6ac60db4;1;0
metal_tiles_01_64037310-6cce-41c6-85f8-76752b08e73d;1;0
fabric_355efd28-5087-47d7-aa26-46e7e9469c49;1;0
decoratiive_tile_72f43285-5259-44b0-80aa-0b0ee755c68c;1;0
orange_terracott_95202d37-b493-48ee-ac6f-ac246118380b;1;0
human_walking_1__e4b5c50d-abf0-473a-8b69-1c38b9318578;1;0
bedrock_stone_49421e3d-ba3c-414f-8dbc-46f2ab761f3d;1;0
wooden_chair_065b5b08-0f36-43d6-b998-8592efa76d8f;1;0
female_body_refe_d80151a2-f21f-47f2-ba4d-eb30290aabde;1;0
metal_cddccf51-dd6b-40e4-b9c7-3c4ab4371be6;1;0
rubber_black_13ad6c74-f4ff-4f2a-a3e4-d313b491c39a;1;0
metal_scratched_59af9320-f84e-4666-ab68-6f9b1331dc2e;1;0
red_painted_meta_b6f91ed8-4ac8-4ca2-9330-90e14e997de0;1;0
painted_wall_sim_65d810b0-bd5d-4a74-b33d-5f5b330c2f15;1;0
old-concrete_243aad84-7053-4d79-94f7-e8d4d45078d1;1;0
concrete_tiles_0_734ffa9e-11d6-4ac6-91fb-e82d8d79f997;1;0
mosaic_tiles_ada64e96-dbd0-421e-a38c-212de4b938be;1;0
toilet_paper_dis_f4756589-6735-4065-9f4a-0dba40f5ec51;1;0
black_wall_light_2e85a84c-2366-4ed2-a020-6c900a827505;1;0
Analyse SENSIBLE;1;0
Analuse URBAINE;1;0
black_shower_sys_e439b1f1-5437-49f4-bba0-3504c6fee93b;1;0
child's_drawing__64cd341a-9d54-42a0-a139-0f9b2f415717;1;0
floor_flooring_f_be630a4e-83eb-41d0-8049-6a1cf5ddea6d;1;0
child's_drawing__1be7f326-3bd7-4fec-b731-4f87e50ce397;1;0
jabuticaba_penda_47a97d43-58f4-4ae6-8db5-c0ba3d80f812;1;0
pen_holder_1b3dd8eb-7b57-45ba-a943-cdc7f33d4689;1;0
toy_wooden_puppe_318476b8-0a49-401a-bb6e-41646bbf7bd2;1;0
bathroom_furnitu_0bf2f7e7-074f-4c44-9680-c98c779701be;1;0
standard_uk_toil_e829ef3b-c810-4034-ac4b-9c655e6ad3d5;1;0
wicker_basket_fi_ac8f97b7-29ac-427e-951f-4a23cdbef7f1;1;0
pin_light_460583c9-17ad-4c76-9eef-b2908c39578b;1;0
wall_lamp_e81df569-468c-45fc-81b5-2e73b7b2cb3c;1;0
cardboard_kids_d_50430558-e9b8-46d9-99a7-b3e11a14adc8;1;0
child's_drawing__1c0ed594-bd1f-45e7-a0ae-845ab043ad53;1;0
metal_rectangula_01df30af-e722-4dda-b1e2-9679f33ca6f0;1;0
rough_iron_steel_56f87f76-a35a-486d-bf41-2b114a902692;1;0
